University,Year,Partner Country Code,Partner University Code
HGI,2015,SUI,SU1
HGI,2015,UKR,UK3
HGI,2015,KGZ,KG2
HGI,2015,AFG,AF1
HGI,2015,IND,IN1
HGI,2015,UZB,U14
HGI,2015,PLE,PL1
HGI,2016,CRO,HR1
HGI,2016,TUR,TR3
HGI,2016,SUI,SU1
HGI,2016,UKR,UK3
HGI,2016,KGZ,KG2
HGI,2016,AFG,AF1
HGI,2016,IND,IN1
HGI,2016,UZB,U14
HGI,2016,PLE,PL1
HGI,2016,PAK,P1
HGI,2016,PAK,P2
HGI,2016,KSA,KS1
HGI,2016,RUS,RU16
HGI,2017,CRO,HR1
HGI,2017,TUR,TR3
HGI,2017,SUI,SU1
HGI,2017,UKR,UK3
HGI,2017,KGZ,KG2
HGI,2017,AFG,AF1
HGI,2017,IND,IN1
HGI,2017,UZB,U14
HGI,2017,PLE,PL1
HGI,2017,PAK,P1
HGI,2017,PAK,P2
HGI,2017,KSA,KS1
HGI,2017,RUS,RU16
HGI,2017,ROU,R11
HGI,2017,ARM,AR2
HGI,2018,CRO,HR1
HGI,2018,TUR,TR3
HGI,2018,SUI,SU1
HGI,2018,UKR,UK3
HGI,2018,KGZ,KG2
HGI,2018,AFG,AF1
HGI,2018,IND,IN1
HGI,2018,UZB,U14
HGI,2018,PLE,PL1
HGI,2018,PAK,P1
HGI,2018,PAK,P2
HGI,2018,KSA,KS1
HGI,2018,RUS,RU16
HGI,2018,ROU,R11
HGI,2018,ARM,AR2
HGI,2018,KUW,KU1
HGI,2018,IRN,IR5
HGI,2018,ARG,ARG1
HGI,2018,AZE,AZ1
HGI,2019,CRO,HR1
HGI,2019,TUR,TR3
HGI,2019,SUI,SU1
HGI,2019,UKR,UK3
HGI,2019,KGZ,KG2
HGI,2019,AFG,AF1
HGI,2019,IND,IN1
HGI,2019,UZB,U14
HGI,2019,PLE,PL1
HGI,2019,PAK,P1
HGI,2019,PAK,P2
HGI,2019,PAK,P3
HGI,2019,KSA,KS1
HGI,2019,RUS,RU16
HGI,2019,ROU,R11
HGI,2019,ARM,AR2
HGI,2019,KUW,KU1
HGI,2019,IRN,IR5
HGI,2019,ARG,ARG1
HGI,2019,AZE,AZ1
HGI,2019,TUN,TUN1
HGI,2019,KOR,K8
HGI,2019,MAR,MR1
HGI,2019,ITA,I7
HGI,2020,CRO,HR1
HGI,2020,TUR,TR3
HGI,2020,SUI,SU1
HGI,2020,UKR,UK3
HGI,2020,KGZ,KG2
HGI,2020,AFG,AF1
HGI,2020,IND,IN1
HGI,2020,UZB,U14
HGI,2020,PLE,PL1
HGI,2020,PAK,P1
HGI,2020,PAK,P2
HGI,2020,PAK,P3
HGI,2020,KSA,KS1
HGI,2020,RUS,RU16
HGI,2020,ROU,R11
HGI,2020,ARM,AR2
HGI,2020,KUW,KU1
HGI,2020,IRN,IR5
HGI,2020,ARG,ARG1
HGI,2020,AZE,AZ1
HGI,2020,TUN,TUN1
HGI,2020,KOR,K8
HGI,2020,MAR,MR1
HGI,2020,ITA,I7
HGI,2021,CRO,HR1
HGI,2021,TUR,TR3
HGI,2021,SUI,SU1
HGI,2021,UKR,UK3
HGI,2021,KGZ,KG2
HGI,2021,AFG,AF1
HGI,2021,IND,IN1
HGI,2021,UZB,U14
HGI,2021,PLE,PL1
HGI,2021,PAK,P1
HGI,2021,PAK,P2
HGI,2021,PAK,P3
HGI,2021,KSA,KS1
HGI,2021,RUS,RU16
HGI,2021,ROU,R11
HGI,2021,ARM,AR2
HGI,2021,KUW,KU1
HGI,2021,IRN,IR5
HGI,2021,ARG,ARG1
HGI,2021,AZE,AZ1
HGI,2021,TUN,TUN1
HGI,2021,KOR,K8
HGI,2021,MAR,MR1
HGI,2021,ITA,I7
HGI,2021,FRA,FR1
HGI,2021,KAZ,KA3
HGI,2022,CRO,HR1
HGI,2022,TUR,TR3
HGI,2022,SUI,SU1
HGI,2022,UKR,UK3
HGI,2022,KGZ,KG2
HGI,2022,AFG,AF1
HGI,2022,IND,IN1
HGI,2022,UZB,U14
HGI,2022,UZB,U15
HGI,2022,PLE,PL1
HGI,2022,PAK,P1
HGI,2022,PAK,P2
HGI,2022,PAK,P3
HGI,2022,KSA,KS1
HGI,2022,RUS,RU16
HGI,2022,ROU,R11
HGI,2022,ARM,AR2
HGI,2022,ARM,AR2
HGI,2022,KUW,KU1
HGI,2022,IRN,IR5
HGI,2022,ARG,ARG1
HGI,2022,AZE,AZ1
HGI,2022,TUN,TUN1
HGI,2022,KOR,K8
HGI,2022,MAR,MR1
HGI,2022,ITA,I7
HGI,2022,FRA,FR1
HGI,2022,KAZ,KA3
HGI,2022,KAZ,KA4
HGI,2022,ARE,AR2
HGI,2022,ARE,AR2
HGI,2022,BAH,BH1
HGI,2022,TJK,TJ1
HGI,2023,CRO,HR1
HGI,2023,TUR,TR3
HGI,2023,SUI,SU1
HGI,2023,UKR,UK3
HGI,2023,KGZ,KG2
HGI,2023,AFG,AF1
HGI,2023,IND,IN1
HGI,2023,UZB,U14
HGI,2023,UZB,U15
HGI,2023,PLE,PL1
HGI,2023,PAK,P1
HGI,2023,PAK,P2
