Ýyl,Ugur,Kwota,Hünär
2034,4. Oba hojalygy we oba hojalyk ylymlary,703.5838236439067,Hünärmen
2034,5. Jemgyýet baradaky ylymlar,4670.5237740381945,Bakalawr
2034,5. Jemgyýet baradaky ylymlar,926.3264411794149,Hünärmen
2034,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2250.40755652938,Bakalawr
2034,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1813.7613142177092,Hünärmen
2034,7. Ynsanperwer ylymlar,307.5969480252255,Bakalawr
2034,7. Ynsanperwer ylymlar,2289.2991246705005,Hünärmen
2034,8. Sungat we medeniýet,503.82258728269693,Bakalawr
2034,8. Sungat we medeniýet,523.2683713532572,Hünärmen
2035,1. Matematika we tebigy ylymlar,1305.612474835667,Bakalawr
2035,1. Matematika we tebigy ylymlar,3222.434950894793,Hünärmen
2035,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2224.12528222981,Bakalawr
2035,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3597.6499794236393,Hünärmen
2035,3. Saglygy goraýyş we lukmançylyk ylymlary,1884.5641704389996,Hünärmen
2035,4. Oba hojalygy we oba hojalyk ylymlary,312.39622284754586,Bakalawr
2035,4. Oba hojalygy we oba hojalyk ylymlary,675.7266124637133,Hünärmen
2035,5. Jemgyýet baradaky ylymlar,4485.60228675661,Bakalawr
2035,5. Jemgyýet baradaky ylymlar,889.6501128919242,Hünärmen
2035,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2161.30647654851,Bakalawr
2035,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1741.948503486859,Hünärmen
2035,7. Ynsanperwer ylymlar,295.4181672580053,Bakalawr
2035,7. Ynsanperwer ylymlar,2198.6581988454996,Hünärmen
2035,8. Sungat we medeniýet,483.87458430190526,Bakalawr
2035,8. Sungat we medeniýet,502.5504454503999,Hünärmen
2036,1. Matematika we tebigy ylymlar,1249.3074664382877,Bakalawr
2036,1. Matematika we tebigy ylymlar,3083.466282574603,Hünärmen
2036,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2128.2090780678245,Bakalawr
2036,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3442.5000278058933,Hünärmen
2036,3. Saglygy goraýyş we lukmançylyk ylymlary,1803.29166156892,Hünärmen
2036,4. Oba hojalygy we oba hojalyk ylymlary,298.9240231789921,Bakalawr
2036,4. Oba hojalygy we oba hojalyk ylymlary,646.58565883282,Hünärmen
2036,5. Jemgyýet baradaky ylymlar,4292.159071950528,Bakalawr
2036,5. Jemgyýet baradaky ylymlar,851.2836312271298,Hünärmen
2036,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2068.099356015527,Bakalawr
2036,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1666.82634663938,Hünärmen
2036,7. Ynsanperwer ylymlar,282.67815235404686,Bakalawr
2036,7. Ynsanperwer ylymlar,2103.8402718304064,Hünärmen
2036,8. Sungat we medeniýet,463.00731851093883,Bakalawr
2036,8. Sungat we medeniýet,480.87777641837863,Hünärmen
2037,1. Matematika we tebigy ylymlar,1374.3964452946868,Bakalawr
2037,1. Matematika we tebigy ylymlar,3392.2034501551566,Hünärmen
2037,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2341.299536197711,Bakalawr
2037,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3787.186043666374,Hünärmen
2037,3. Saglygy goraýyş we lukmançylyk ylymlary,1983.8492253278316,Hünärmen
2037,4. Oba hojalygy we oba hojalyk ylymlary,328.8542860002892,Bakalawr
2037,4. Oba hojalygy we oba hojalyk ylymlary,711.3261186310604,Hünärmen
2037,5. Jemgyýet baradaky ylymlar,4721.918606591109,Bakalawr
2037,5. Jemgyýet baradaky ylymlar,936.5198144790845,Hünärmen
2037,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2275.1712286867837,Bakalawr
2037,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1833.7200947624822,Hünärmen
2037,7. Ynsanperwer ylymlar,310.9817704567952,Bakalawr
2037,7. Ynsanperwer ylymlar,2314.4907628824703,Hünärmen
2037,8. Sungat we medeniýet,509.3666929895783,Bakalawr
2037,8. Sungat we medeniýet,529.0264600874217,Hünärmen
2038,1. Matematika we tebigy ylymlar,1331.211880901801,Bakalawr
2038,1. Matematika we tebigy ylymlar,3285.6178803011935,Hünärmen
2038,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2267.734153421793,Bakalawr
2038,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3668.1898252677706,Hünärmen
2038,3. Saglygy goraýyş we lukmançylyk ylymlary,1921.515198700909,Hünärmen
2038,4. Oba hojalygy we oba hojalyk ylymlary,318.5214383432137,Bakalawr
2038,4. Oba hojalygy we oba hojalyk ylymlary,688.97571989456,Hünärmen
2038,5. Jemgyýet baradaky ylymlar,4573.552391862884,Bakalawr
2038,5. Jemgyýet baradaky ylymlar,907.0936613687173,Hünärmen
2038,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2203.68364679843,Bakalawr
2038,6. Bilim we pedagogika (mugallymçylyk) ylymlary,1776.1032377181375,Hünärmen
2038,7. Ynsanperwer ylymlar,301.21049060716945,Bakalawr
2038,7. Ynsanperwer ylymlar,2241.7677318177266,Hünärmen
2038,8. Sungat we medeniýet,493.36201047726036,Bakalawr
2038,8. Sungat we medeniýet,512.404052986909,Hünärmen
2039,1. Matematika we tebigy ylymlar,1221.3474068224536,Bakalawr
2039,1. Matematika we tebigy ylymlar,3014.4569286723236,Hünärmen
2039,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",2080.5788074608768,Bakalawr
2039,"2. Inženerçilik işi, tehnologiýalar we tehniki ylymlar",3365.4553381752658,Hünärmen
2039,3. Saglygy goraýyş we lukmançylyk ylymlary,1762.9331880012012,Hünärmen
2039,4. Oba hojalygy we oba hojalyk ylymlary,292.23396990290183,Bakalawr
2039,4. Oba hojalygy we oba hojalyk ylymlary,632.1147827247551,Hünärmen
2039,5. Jemgyýet baradaky ylymlar,4196.098633062319,Bakalawr
2039,5. Jemgyýet baradaky ylymlar,832.2315229843509,Hünärmen
2039,6. Bilim we pedagogika (mugallymçylyk) ylymlary,2021.8143678608371,Bakalawr
