Row Index,KOD,Year,Uviversity,Hünärler,Tölegli talyp sany,BŽ talyp sany
28,M,2022-2023,HGI,Atçylyk,0,0
29,M,2022-2023,HGI,Salgyt menejmenti ,0,0
30,M,2022-2023,HGI,Milli ykdysadyýet ,0,0
1,M,2022-2023,TDYDI,Bilimi dolandyrmak,0,0
2,M,2022-2023,TDYDI,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TDYDI,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TDYDI,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TDYDI,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TDYDI,Nebitgaz işi,0,0
7,M,2022-2023,TDYDI,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TDYDI,Ykdysadyýet ,15,0
9,M,2022-2023,TDYDI,Maliýe menejmenti ,0,0
10,M,2022-2023,TDYDI,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TDYDI,Dünýä ykdysadyýeti ,15,0
12,M,2022-2023,TDYDI,Telekeçilik we maliýe,0,0
13,M,2022-2023,TDYDI,Sanly diplomatiýa,0,0
14,M,2022-2023,TDYDI,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TDYDI,Gündogary öwreniş,0,0
16,M,2022-2023,TDYDI,Halkara hususy hukugy,0,0
17,M,2022-2023,TDYDI,Halkara jemagat hukugy,0,0
18,M,2022-2023,TDYDI,Halkara ykdysadyýet,0,0
19,M,2022-2023,TDYDI,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TDYDI,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TDYDI,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TDYDI,Zootehniýa,0,0
23,M,2022-2023,TDYDI,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TDYDI,Medeniýeti öwreniş,0,0
25,M,2022-2023,TDYDI,Bank menejmenti ,0,0
26,M,2022-2023,TDYDI,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TDYDI,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TDYDI,Atçylyk,0,0
29,M,2022-2023,TDYDI,Salgyt menejmenti ,15,0
30,M,2022-2023,TDYDI,Milli ykdysadyýet ,15,0
1,M,2022-2023,TTII,Bilimi dolandyrmak,0,0
2,M,2022-2023,TTII,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TTII,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TTII,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TTII,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TTII,Nebitgaz işi,0,0
7,M,2022-2023,TTII,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TTII,Ykdysadyýet ,0,0
9,M,2022-2023,TTII,Maliýe menejmenti ,0,0
10,M,2022-2023,TTII,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TTII,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TTII,Telekeçilik we maliýe,0,0
13,M,2022-2023,TTII,Sanly diplomatiýa,0,0
14,M,2022-2023,TTII,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TTII,Gündogary öwreniş,0,0
16,M,2022-2023,TTII,Halkara hususy hukugy,0,0
17,M,2022-2023,TTII,Halkara jemagat hukugy,0,0
18,M,2022-2023,TTII,Halkara ykdysadyýet,0,0
19,M,2022-2023,TTII,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TTII,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TTII,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TTII,Zootehniýa,0,0
23,M,2022-2023,TTII,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TTII,Medeniýeti öwreniş,0,0
25,M,2022-2023,TTII,Bank menejmenti ,0,0
26,M,2022-2023,TTII,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TTII,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TTII,Atçylyk,0,0
29,M,2022-2023,TTII,Salgyt menejmenti ,0,0
30,M,2022-2023,TTII,Milli ykdysadyýet ,0,0
1,M,2022-2023,TDLU,Bilimi dolandyrmak,0,0
2,M,2022-2023,TDLU,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TDLU,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TDLU,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TDLU,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TDLU,Nebitgaz işi,0,0
7,M,2022-2023,TDLU,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TDLU,Ykdysadyýet ,0,0
9,M,2022-2023,TDLU,Maliýe menejmenti ,0,0
10,M,2022-2023,TDLU,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TDLU,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TDLU,Telekeçilik we maliýe,0,0
13,M,2022-2023,TDLU,Sanly diplomatiýa,0,0
14,M,2022-2023,TDLU,Seljeriş we strategiki meýilleşdiriş,0,0
15,M,2022-2023,TDLU,Gündogary öwreniş,0,0
16,M,2022-2023,TDLU,Halkara hususy hukugy,0,0
17,M,2022-2023,TDLU,Halkara jemagat hukugy,0,0
18,M,2022-2023,TDLU,Halkara ykdysadyýet,0,0
19,M,2022-2023,TDLU,Syýasy kommunikasiýa we internet žurnalistikasy,0,0
20,M,2022-2023,TDLU,Pedagogika bilimi (tebigy we takyk ylmy ugurlara degişli dersleri okatmagyň usulyýeti),0,0
21,M,2022-2023,TDLU,Oba hojalygynyň ykdysadyýeti we dolandyrylyşy,0,0
22,M,2022-2023,TDLU,Zootehniýa,0,0
23,M,2022-2023,TDLU,Halkara arbitraž we işewürlik hukugy,0,0
24,M,2022-2023,TDLU,Medeniýeti öwreniş,0,0
25,M,2022-2023,TDLU,Bank menejmenti ,0,0
26,M,2022-2023,TDLU,Maglumat howpsuzlygynyň ulgamlary ,0,0
27,M,2022-2023,TDLU,Energiýa tygşytlaýjy tehnologiýalar we energetiki menejment ,0,0
28,M,2022-2023,TDLU,Atçylyk,0,0
29,M,2022-2023,TDLU,Salgyt menejmenti ,0,0
30,M,2022-2023,TDLU,Milli ykdysadyýet ,0,0
1,M,2022-2023,TDBSI,Bilimi dolandyrmak,0,0
2,M,2022-2023,TDBSI,Pedagogika bilimi (bilimiň pedagogikasy we psihologiýasy),0,0
3,M,2022-2023,TDBSI,Psihologiýa-pedagogika bilimi,0,0
4,M,2022-2023,TDBSI,Daşary ýurt dillerini okatmagyň usulyýeti,0,0
5,M,2022-2023,TDBSI,Işewürlik-dolandyryş,0,0
6,M,2022-2023,TDBSI,Nebitgaz işi,0,0
7,M,2022-2023,TDBSI,Uglewodorod gazlaryny gaýtadan işlemegiň tehnologiýasy,0,0
8,M,2022-2023,TDBSI,Ykdysadyýet ,0,0
9,M,2022-2023,TDBSI,Maliýe menejmenti ,0,0
10,M,2022-2023,TDBSI,Işewürlik-dolandyryş ,0,0
11,M,2022-2023,TDBSI,Dünýä ykdysadyýeti ,0,0
12,M,2022-2023,TDBSI,Telekeçilik we maliýe,0,0
