,University,Talyp sany,Year,Hünärler
0.0,TDMal,0.0,2013-2014,Bakalawr
0.0,TDBGI,0.0,2013-2014,Bakalawr
0.0,HGI,0.0,2013-2014,Bakalawr
0.0,TDYDI,0.0,2013-2014,Bakalawr
0.0,TTII,0.0,2013-2014,Bakalawr
0.0,TDLU,0.0,2013-2014,Bakalawr
0.0,TDBSI,0.0,2013-2014,Bakalawr
0.0,TDMI,0.0,2013-2014,Bakalawr
0.0,TMK,0.0,2013-2014,Bakalawr
0.0,TDÇA,0.0,2013-2014,Bakalawr
0.0,TITUKI,0.0,2013-2014,Bakalawr
0.0,TOHI,0.0,2013-2014,Bakalawr
0.0,TDEI,0.0,2013-2014,Bakalawr
0.0,SSTDMI,0.0,2013-2014,Bakalawr
0.0,HAA,0.0,2013-2014,Bakalawr
0.0,TDU,0.0,2013-2014,Magistr
0.0,HNGU,0.0,2013-2014,Magistr
0.0,HYYÖU,0.0,2013-2014,Magistr
0.0,TITU,0.0,2013-2014,Magistr
0.0,TOHU,0.0,2013-2014,Magistr
0.0,TMDDI,0.0,2013-2014,Magistr
0.0,TDMal,0.0,2013-2014,Magistr
0.0,TDBGI,0.0,2013-2014,Magistr
0.0,HGI,0.0,2013-2014,Magistr
0.0,TDYDI,0.0,2013-2014,Magistr
0.0,TTII,0.0,2013-2014,Magistr
0.0,TDLU,0.0,2013-2014,Magistr
0.0,TDBSI,0.0,2013-2014,Magistr
0.0,TDMI,0.0,2013-2014,Magistr
0.0,TMK,0.0,2013-2014,Magistr
0.0,TDÇA,0.0,2013-2014,Magistr
0.0,TITUKI,0.0,2013-2014,Magistr
0.0,TOHI,0.0,2013-2014,Magistr
0.0,TDEI,0.0,2013-2014,Magistr
0.0,SSTDMI,0.0,2013-2014,Magistr
0.0,HAA,0.0,2013-2014,Magistr
0.0,TDU,1036.0,2014-2015,Hünärmen
0.0,HNGU,395.0,2014-2015,Hünärmen
0.0,HYYÖU,0.0,2014-2015,Hünärmen
0.0,TITU,0.0,2014-2015,Hünärmen
0.0,TOHU,510.0,2014-2015,Hünärmen
0.0,TMDDI,1358.0,2014-2015,Hünärmen
0.0,TDMal,180.0,2014-2015,Hünärmen
0.0,TDBGI,550.0,2014-2015,Hünärmen
0.0,HGI,277.0,2014-2015,Hünärmen
0.0,TDYDI,435.0,2014-2015,Hünärmen
0.0,TTII,1908.0,2014-2015,Hünärmen
0.0,TDLU,470.0,2014-2015,Hünärmen
0.0,TDBSI,320.0,2014-2015,Hünärmen
0.0,TDMI,200.0,2014-2015,Hünärmen
0.0,TMK,588.0,2014-2015,Hünärmen
0.0,TDÇA,447.0,2014-2015,Hünärmen
0.0,TITUKI,0.0,2014-2015,Hünärmen
0.0,TOHI,1037.0,2014-2015,Hünärmen
0.0,TDEI,1246.0,2014-2015,Hünärmen
0.0,SSTDMI,1251.0,2014-2015,Hünärmen
0.0,HAA,0.0,2014-2015,Hünärmen
0.0,TDU,0.0,2014-2015,Bakalawr
0.0,HNGU,24.0,2014-2015,Bakalawr
0.0,HYYÖU,280.0,2014-2015,Bakalawr
0.0,TITU,0.0,2014-2015,Bakalawr
0.0,TOHU,0.0,2014-2015,Bakalawr
0.0,TMDDI,0.0,2014-2015,Bakalawr
0.0,TDMal,0.0,2014-2015,Bakalawr
0.0,TDBGI,0.0,2014-2015,Bakalawr
0.0,HGI,0.0,2014-2015,Bakalawr
0.0,TDYDI,0.0,2014-2015,Bakalawr
0.0,TTII,0.0,2014-2015,Bakalawr
0.0,TDLU,0.0,2014-2015,Bakalawr
0.0,TDBSI,0.0,2014-2015,Bakalawr
0.0,TDMI,0.0,2014-2015,Bakalawr
0.0,TMK,0.0,2014-2015,Bakalawr
0.0,TDÇA,0.0,2014-2015,Bakalawr
0.0,TITUKI,0.0,2014-2015,Bakalawr
0.0,TOHI,0.0,2014-2015,Bakalawr
0.0,TDEI,0.0,2014-2015,Bakalawr
0.0,SSTDMI,0.0,2014-2015,Bakalawr
0.0,HAA,0.0,2014-2015,Bakalawr
0.0,TDU,0.0,2014-2015,Magistr
0.0,HNGU,0.0,2014-2015,Magistr
0.0,HYYÖU,0.0,2014-2015,Magistr
0.0,TITU,0.0,2014-2015,Magistr
0.0,TOHU,0.0,2014-2015,Magistr
0.0,TMDDI,0.0,2014-2015,Magistr
0.0,TDMal,0.0,2014-2015,Magistr
0.0,TDBGI,0.0,2014-2015,Magistr
0.0,HGI,0.0,2014-2015,Magistr
0.0,TDYDI,0.0,2014-2015,Magistr
0.0,TTII,0.0,2014-2015,Magistr
0.0,TDLU,0.0,2014-2015,Magistr
0.0,TDBSI,0.0,2014-2015,Magistr
0.0,TDMI,0.0,2014-2015,Magistr
0.0,TMK,0.0,2014-2015,Magistr
0.0,TDÇA,0.0,2014-2015,Magistr
0.0,TITUKI,0.0,2014-2015,Magistr
0.0,TOHI,0.0,2014-2015,Magistr
0.0,TDEI,0.0,2014-2015,Magistr
0.0,SSTDMI,0.0,2014-2015,Magistr
0.0,HAA,0.0,2014-2015,Magistr
0.0,TDU,1101.0,2015-2016,Hünärmen
0.0,HNGU,419.0,2015-2016,Hünärmen
0.0,HYYÖU,0.0,2015-2016,Hünärmen
0.0,TITU,0.0,2015-2016,Hünärmen
0.0,TOHU,510.0,2015-2016,Hünärmen
0.0,TMDDI,1461.0,2015-2016,Hünärmen
0.0,TDMal,180.0,2015-2016,Hünärmen
0.0,TDBGI,570.0,2015-2016,Hünärmen
0.0,HGI,291.0,2015-2016,Hünärmen
0.0,TDYDI,450.0,2015-2016,Hünärmen
0.0,TTII,1995.0,2015-2016,Hünärmen
0.0,TDLU,497.0,2015-2016,Hünärmen
0.0,TDBSI,320.0,2015-2016,Hünärmen
0.0,TDMI,200.0,2015-2016,Hünärmen
0.0,TMK,637.0,2015-2016,Hünärmen
0.0,TDÇA,494.0,2015-2016,Hünärmen
0.0,TITUKI,0.0,2015-2016,Hünärmen
0.0,TOHI,1071.0,2015-2016,Hünärmen
0.0,TDEI,1338.0,2015-2016,Hünärmen
0.0,SSTDMI,1464.0,2015-2016,Hünärmen
0.0,HAA,0.0,2015-2016,Hünärmen
0.0,TDU,0.0,2015-2016,Bakalawr
0.0,HNGU,24.0,2015-2016,Bakalawr
0.0,HYYÖU,583.0,2015-2016,Bakalawr
0.0,TITU,0.0,2015-2016,Bakalawr
0.0,TOHU,0.0,2015-2016,Bakalawr
0.0,TMDDI,0.0,2015-2016,Bakalawr
0.0,TDMal,0.0,2015-2016,Bakalawr
